square_id,total_internet
5161,4447537.5
5059,3958097.5
5259,3882909.5
5061,3497420.5
5258,3260681.0
6064,3176702.8
5159,3138199.5
4855,3059926.5
4856,2992205.5
5262,2967304.0
4956,2943509.2
6058,2879870.8
5857,2861251.2
4459,2758749.8
5256,2752502.8
4857,2684261.2
5162,2679698.8
5758,2669750.8
4755,2585160.8
4961,2578407.2
4955,2532766.5
5567,2519852.8
6169,2518261.5
5263,2492441.2
5163,2490016.5
5261,2468556.0
6065,2418922.2
5255,2336585.8
6165,2322487.5
5957,2294780.8
5156,2293785.5
4761,2268104.0
5965,2253359.0
4457,2212420.8
5959,2184798.8
5361,2177145.5
4754,2162377.2
4654,2156862.8
6260,2154537.8
4957,2138569.2
5158,2131745.2
5967,2125960.5
4959,2108365.5
4854,2079656.9
4861,2059756.9
5458,2045117.2
4655,2041022.2
6164,2027134.1
5467,2020125.8
5854,2003237.9
4456,1999492.2
6067,1996494.5
4762,1996071.5
5964,1989889.1
5954,1982712.0
5963,1981945.9
5955,1971645.4
5461,1962364.2
4758,1947323.5
5359,1941735.2
4462,1927855.4
5360,1922593.4
4653,1917834.5
4559,1915880.1
4759,1902753.9
4968,1902243.2
6063,1898884.1
5160,1897825.1
5765,1893578.1
6068,1885739.1
5155,1884911.2
5056,1883220.1
4958,1881314.4
5856,1876254.2
6059,1873120.8
4760,1872759.8
5367,1863724.8
4962,1861655.4
5062,1857858.5
4756,1857219.8
5068,1854509.4
6066,1854301.6
5260,1851772.1
4460,1838484.1
5349,1834595.0
5968,1827533.9
5157,1813859.1
4860,1813837.5
4954,1803703.2
4960,1801658.5
5658,1789382.6
5063,1781043.6
4948,1766832.8
5358,1762645.9
5257,1744468.2
5060,1721955.9
5766,1721953.5
4757,1715535.1
5154,1715329.5
4648,1712488.5
5958,1712423.8
6268,1705936.2
5659,1685043.8
5858,1684362.4
5861,1683611.5
5568,1672739.5
5254,1664604.1
4659,1664458.6
4656,1662729.2
5252,1660444.9
4556,1652452.0
4660,1651624.4
6264,1651516.9
5055,1650447.5
4256,1646488.6
5866,1637275.4
4858,1629917.8
4554,1626956.6
6269,1620664.5
5460,1613067.4
4853,1609753.6
6069,1604485.4
6072,1600283.6
5966,1599194.4
5148,1585232.6
5248,1582352.1
6158,1571424.4
5862,1568634.4
4555,1568008.1
5855,1559106.2
4458,1555786.5
5962,1553915.1
5757,1548324.2
4548,1536036.4
5072,1534803.4
5956,1533779.6
5667,1531380.0
4953,1529493.2
5662,1526691.8
5562,1523354.6
5867,1521865.4
5151,1519607.1
4553,1518902.9
4859,1517753.6
5752,1515438.5
5566,1512087.5
5147,1510547.8
6358,1508264.0
4560,1506932.8
6073,1502095.4
6674,1488218.2
4257,1486809.9
4967,1482347.4
4753,1475100.9
5761,1472657.0
4558,1472374.0
5868,1467022.2
5053,1464648.5
6460,1461782.8
5267,1458264.0
5268,1452725.2
5047,1446763.9
5368,1446211.6
5269,1445053.6
5767,1437314.4
6166,1436344.4
5058,1434229.8
4362,1424381.6
5859,1421617.5
6371,1418962.9
6265,1411156.4
4359,1406411.4
5772,1402910.0
5559,1402522.6
5860,1398455.9
5951,1396598.0
4461,1393679.8
5960,1389336.0
5251,1388157.2
4561,1386895.9
6162,1383641.5
5753,1382921.9
5348,1380592.4
5661,1380189.9
6374,1377013.5
4661,1371169.4
7164,1369144.8
5468,1365414.2
5073,1361801.6
6168,1356390.5
5754,1346046.4
6261,1345927.9
4455,1345899.6
5064,1345452.2
6345,1344002.8
5769,1341345.1
5560,1339343.1
6050,1338415.0
4156,1337845.2
5670,1335661.9
5561,1333474.1
5760,1319679.4
6375,1317507.2
5872,1315658.8
5969,1313116.6
5152,1309679.1
4652,1305290.5
6151,1304135.9
4355,1303847.6
4363,1300579.0
4155,1299464.2
4972,1291421.9
5759,1290854.6
5770,1289277.1
6051,1285840.2
